P,T
-57.30080449,102.637
-56.65311894,102.742
-57.89763174,102.848
-58.71721316,102.953
-57.29821093,103.058
-57.64223674,103.164
-58.03186453,103.269
-57.94586125,103.375
-58.71985432,103.48
-58.54259215,103.585
-57.5992344,103.691
-59.36478601,103.796
-58.45923322,103.902
-59.49376552,104.007
-57.47282518,104.112
-59.02082952,104.218
-57.76863283,104.323
-59.36212321,104.429
-58.58822433,104.534
-57.3842189,104.639
-58.41623568,104.745
-58.02924645,104.85
-57.73084865,104.955
-58.59086116,105.06
-57.72824067,105.165
-58.97783382,105.271
-59.10151186,105.376
-58.02924645,105.481
-57.12360418,105.587
-59.79470889,105.692
-58.41623568,105.798
-58.46186573,105.903
-58.8058485,106.008
-58.49959656,106.114
-58.58822433,106.219
-57.63963165,106.325
-56.95416895,106.43
-58.45923322,106.535
-58.84355423,106.641
-59.83502112,106.746
-57.89763174,106.853
-58.76020893,106.957
-58.63122086,107.062
-58.67421713,107.168
-59.40511519,107.273
-59.10416601,107.378
-58.24686829,107.484
-58.8005604,107.589
-58.58822433,107.695
-59.10416601,107.8
-57.29561738,107.905
-57.94324606,108.011
-57.94586125,108.116
-59.75171773,108.222
-58.06962674,108.327
-59.01817825,108.432
-58.76020893,108.538
-58.59086116,108.643
-59.31913097,108.749
-58.67421713,108.854
-58.24424299,108.959
-58.84884521,109.065
-58.49959656,109.17
-57.98624638,109.276
-58.24686829,109.381
-57.94324606,109.486
-60.13594024,109.592
-58.28724154,109.697
-57.21479262,109.802
-57.72563269,109.908
-58.20124419,110.013
-57.03759607,110.119
-56.52152614,110.224
-55.92194592,110.329
-55.87638754,110.435
-57.25261446,110.54
-57.5992344,110.646
-56.77956565,110.751
-56.7365597,110.856
-57.5992344,110.962
-57.5536296,111.067
-55.57783922,111.173
-57.07801391,111.278
-57.89763174,111.383
-58.41360462,111.489
-58.92954111,111.594
-57.25520657,111.699
-56.61011078,111.804
-59.31646961,111.909
-60.30788846,112.015
-59.70605199,112.12
-59.05586685,112.225
-58.32498349,112.331
-59.57174056,112.436
-59.23048727,112.542
-58.97253418,112.647
-60.0875779,112.752
-58.11262486,112.858
-58.11000389,112.963
-58.28461481,113.069
-57.37902603,113.174
-57.51322896,113.279
-58.36797865,113.385
-60.00429198,113.49
-58.19337264,113.596
-57.94063087,113.701
-59.01022447,113.806
-58.11000389,113.912
-56.64540322,114.017
-58.15562273,114.122
-58.41623568,114.228
-57.42462463,114.333
-57.76863283,114.439
-58.32761166,114.544
-57.85463235,114.649
-58.11524582,114.755
-56.09144006,114.86
-57.34121505,114.966
-57.16660786,115.071
-58.28461481,115.176
-62.02439629,115.282
-61.46023289,115.387
-59.27081865,115.493
-60.55769366,115.598
-60.94994216,115.703
-51.61223958,115.809
-48.77610634,115.914
-52.04255984,116.02
-60.55769366,116.125
-53.55094949,116.23
-53.89016912,116.336
-61.19692626,116.441
-61.62391477,116.546
-62.27119832,116.652
-60.60067425,116.757
-62.44030057,116.863
-61.49773834,116.968
-59.99623867,117.073
-61.97041804,117.179
-61.71259654,117.284
-61.45749941,117.39
-62.95586571,117.495
-61.11097768,117.6
-62.52900014,117.706
-63.6030766,117.811
-61.58368237,117.917
-62.35436951,118.022
-61.79579304,118.127
-61.10825574,118.233
-62.95308177,118.338
-62.39733517,118.443
-63.03900287,118.548
-62.65234994,118.653
-64.02420308,118.759
-64.02420308,118.864
-63.3397188,118.969
-63.03621605,119.075
-64.32769837,119.18
-63.12492297,119.286
-63.51155092,119.391
-61.79304803,119.496
-62.65234994,119.602
-59.90490995,119.707
-59.38646548,119.813
-60.37767655,119.918
-61.19692626,120.023
-60.16547664,120.129
-61.06528252,120.234
-59.86192966,120.34
-61.06528252,120.445
-61.32584724,120.55
-61.23990017,120.656
-61.06528252,120.761
-62.95864965,120.866
-64.24461959,120.972
-63.98688698,121.077
-62.73827458,121.183
-63.51715629,121.288
-63.683379,121.393
-62.43753393,121.499
-63.29676014,121.604
-64.88036496,121.71
-64.15588542,121.815
-56.37199698,121.92
-63.42563536,122.026
-63.50594555,122.131
-64.36498795,122.237
-64.53678432,122.342
-65.47872324,122.447
-64.9233114,122.553
-63.42283556,122.658
-63.93829646,122.764
-64.27908825,122.869
-63.5946599,122.974
-64.37065098,123.08
-63.42283556,123.185
-64.49950728,123.29
-63.98688698,123.396
-64.54245888,123.501
-63.68057055,123.607
-63.29676014,123.712
-63.16788264,123.817
-62.69808768,123.923
-63.21084206,124.028
-63.08475131,124.134
-62.95586571,124.239
-63.94111356,124.344
-63.89815843,124.45
-62.57196622,124.555
-57.17593263,125.107
-64.23331083,125.212
-60.37228171,125.317
-60.28363766,125.423
-61.95941493,125.528
-61.36062862,125.633
-61.79853805,125.738
-59.4321128,125.843
-60.42065382,125.949
-62.26567657,126.054
-60.93636132,126.159
-61.15395209,126.265
-60.42065382,126.37
-59.73298725,126.476
-57.4950236,126.581
-58.65573909,126.686
-61.92469909,126.792
-60.50390585,126.897
-61.49773834,127.003
-60.29441579,127.108
-60.72419657,127.213
-63.21363465,127.319
-62.78679287,127.424
-60.67851211,127.53
-59.86460977,127.635
-61.75556742,127.74
-59.47776275,127.846
-61.02502809,127.951
-60.29172126,128.056
-60.9793353,128.162
-60.20576496,128.267
-59.2628389,128.373
-59.351472,128.478
-60.03384933,128.583
-60.42335268,128.689
-60.64094851,128.794
-60.80743785,128.9
-61.97041804,129.005
-60.37497913,129.11
-60.11980765,129.216
-59.39179397,129.321
-61.02502809,129.427
-60.29441579,129.532
-61.32311809,129.637
-60.59526499,129.743
-62.22823046,129.848
-62.0508492,129.954
-62.95864965,130.059
-60.93636132,130.164
-61.19420144,130.27
-61.75008028,130.375
-62.22823046,130.48
-60.50390585,130.586
-61.28014612,130.691
-61.40632923,130.797
-58.65837881,130.902
-61.40906126,131.007
-61.75008028,131.113
-61.02230904,131.218
-62.39456997,131.324
-62.35160576,131.429
-61.23717391,131.534
-59.77596831,131.64
-61.41179329,131.745
-60.46363083,131.851
-61.45476594,131.956
-60.89610181,132.061
-61.75556742,132.167
-61.23990017,132.272
-62.09932539,132.377
-61.15122872,132.482
-60.46363083,132.587
-61.58094457,132.693
-60.38037397,132.798
-60.37767655,132.903
-61.83876197,133.009
-61.54344684,133.114
-61.49773834,133.22
-58.57240332,133.325
-60.03384933,133.43
-61.32584724,133.536
-61.36882039,133.641
-60.90153126,133.747
-59.82162778,133.852
-61.80128306,133.957
-61.79579304,134.063
-59.73298725,134.168
-60.12249641,134.274
